Espèce;Description;Nom latin;Famille;Taille;Région;Habitat;Fun fact
Castor;Le castor d’Europe
Chat;Le Chat sauvage4 (Felis silvestris) est une espèce de félins du genre Felis présent dans divers types d'habitats. Son aire de répartition couvre l’Europe
Chien;Alors qu'on estimait autrefois que le Chien constituait une espèce à part entière (Canis canis ou encore Canis familiaris)
Coyote;Le coyote
Ecureuil;L’écureuil est un rongeur arboricole appartenant à l’ordre des rodentiens (rongeurs) et à la famille des sciuridés.;Sciurus vulgaris;Mammifère;20 à 25 cm;Eurasie (Europe
Lapin;Le lapin de garenne
Loup;Le loup gris commun
Lynx;Le lynx commun
Ours;L’ours brun est un mammifère omnivore de la famille des ursidés vivant en Amérique du Nord
Puma;Le puma
Rat;Le rat est un genre de gros Muridés originaires d'Asie dont deux espèces ont colonisé l'Europe et le reste du monde;Rattus rattus;Mammifère;11 à 28cm sans la queue;Monde entier;;L'Antarctique est le seul continent inhabité par les rats.
Raton laveur;Le raton laveur commun est un mammifère carnivore de la famille des procyonidés.;Procyon lotor;Mammifère;40 à 80 cm;Amérique du Nord
Renard;Le renard roux
